n_chargers,beta,energy_cost,waiting_cost,unmet_cost,objective
2,0.0,25.74000000000001,0.0,0.0,25.739999999999995
2,0.1,25.740000000000013,9.200000000000001,0.0,34.94
2,0.25,25.740000000000013,23.0,0.0,48.739999999999995
2,0.5,25.740000000000013,46.0,0.0,71.74
2,1.0,25.740000000000013,92.0,0.0,117.74
2,2.0,25.740000000000013,184.0,0.0,209.74
2,4.0,25.740000000000013,368.0,0.0,393.74
2,8.0,25.344000000000012,632.0,100.0,757.344
4,0.0,18.90900000000001,0.0,0.0,18.909
4,0.1,19.66800000000001,5.800000000000001,0.0,25.467999999999996
4,0.25,25.740000000000013,3.5,0.0,29.239999999999995
4,0.5,27.258000000000013,4.0,0.0,31.257999999999996
4,1.0,27.258000000000013,8.0,0.0,35.257999999999996
4,2.0,27.258000000000013,16.0,0.0,43.257999999999996
4,4.0,27.258000000000013,32.0,0.0,59.257999999999996
4,8.0,27.258000000000013,64.0,0.0,91.258
