EV,RP,WS
556.558,551.058,534.558
466.558,458.058,453.058
305.558,312.058,285.558
511.058,497.058,488.558
462.558,465.058,449.058
471.558,467.558,447.558
371.162,361.162,341.162
516.558,508.558,500.558
453.558,449.558,442.058
603.058,614.558,589.058
515.058,506.558,493.558
463.058,452.058,445.058
503.558,502.558,492.058
561.558,552.558,537.058
659.558,662.558,645.558
607.058,604.058,597.558
566.558,560.058,552.058
660.558,651.058,635.058
317.558,302.058,295.558
555.058,549.058,540.058
504.558,503.558,491.558
323.558,303.558,297.558
570.058,561.058,551.058
411.558,405.058,388.058
463.558,457.558,438.058
546.558,558.558,534.058
462.058,449.058,434.058
656.058,653.558,639.558
457.058,445.558,439.058
359.558,357.058,347.558
